transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000127,M38043,978-0-852470-53-4,2024-07-30,2024-08-14,BR007
TXN000128,M64496,978-0-820892-91-7,2025-03-15,2025-04-13,BR014
TXN000129,M86556,978-1-629959-72-6,2023-12-17,2024-01-11,BR001
TXN000130,M85456,978-1-987204-16-2,2024-03-23,2024-04-02,  BR001 
TXN000131,M61116,978-0-765095-64-0,2024-04-03,2024-04-27,BR014
TXN000132,M81582,978-1-146228-10-7,2025-04-17,2025-04-25,BR015
TXN000133,M45774,978-1-908577-26-9,2024-12-19,2025-01-10,BR001
TXN000134,M99016,978-1-269430-66-1,2025-01-27,2025-02-11,BR012
TXN000135,M26728,978-1-688153-11-0,2024-12-29,,BR009
TXN000136,M61645,978-0-178898-98-2,2025-03-14,,BR011
TXN000137,M94246,978-0-672092-14-5,2025-05-12,2025-05-14,BR014
TXN000138,M44099,978-1-710805-80-2,06/13/2024,2024-06-24,BR004
TXN000139,M59692,978-0-550664-26-6,2025-01-26,2025-02-22,  BR014 
TXN000140,M20735,978-0-423232-56-1,2024-02-22,2024-03-05,BR012
TXN000141,M39389,978-0-475190-36-9,2024-10-19,2024-10-21,BR013
TXN000142,M14067,978-0-799330-23-6,2025-05-27,2025-06-16,BR004
TXN000143,M29973,978-1-918011-81-4,2024-04-02,2024-04-21,BR008
TXN000144,M38569,978-1-750810-29-3,2024-10-15,2024-10-21,BR005
TXN000145,M89415,978-0-270395-32-7,2025-08-26,2025-09-20,BR012
TXN000146,M31465,978-1-125990-32-2,2025-09-04,2025-10-04,BR002
TXN000147,M50888,978-1-920391-62-1,2024-07-22,2024-08-04,BR015
TXN000148,M35995,978-0-379766-30-1,2024-05-10,2024-05-18,BR012
TXN000149,M23356,978-0-501124-14-6,2025-06-15,2025-07-05,BR005
TXN000150,M25866,978-1-333238-35-3,2024-09-12,2024-09-24,BR010
TXN000151,M79827,978-1-466643-49-9,2024-08-22,,BR006
TXN000152,M94874,978-0-333752-13-5,2024-11-14,2024-11-30,BR014
TXN000153,M23833,978-0-517821-52-7,2024-06-22,2024-07-19,BR006
TXN000154,M70258,978-1-172792-45-0,2025-01-17,2025-02-03,  BR007 
TXN000155,M95256,978-1-772642-75-9,2025-08-26,2025-09-20,BR013
TXN000156,M73372,978-1-812526-78-0,2024-01-12,2024-01-21,BR014
TXN000157,M52245,978-1-128941-24-6,2025-08-19,2025-08-28,BR014
TXN000158,M69087,978-1-287241-84-3,2023-12-27,2024-01-18,BR008
TXN000159,M59674,978-1-140115-23-6,2023-11-13,2023-11-19,BR008
TXN000160,M73904,978-1-462479-50-4,2024-01-26,2024-02-04,BR013
TXN000161,M88139,978-1-735656-75-5,29/12/2024,2025-01-15,BR005
TXN000162,M35042,978-0-503906-83-2,2024-05-30,2024-06-17,BR012
TXN000163,,978-0-367095-15-4,22/04/2024,2024-05-07,BR011
TXN000164,M12260,978-1-101773-76-5,2024-09-08,2024-09-16,BR004
TXN000165,M50135,978-0-481913-65-5,2025-03-17,2025-04-03,BR006
TXN000166,M55056,978-0-796503-52-7,2024-07-03,2024-07-15,BR012
TXN000167,M69473,978-1-795612-25-8,2024-11-01,2024-11-25,BR005
TXN000168,M35242,978-1-631756-49-8,2025-07-16,2025-08-10,BR012
TXN000169,M34267,978-1-442027-61-9,02/09/2024,2024-03-04,BR012
TXN000170,M87278,978-1-681343-26-6,2025-01-12,2025-01-16,BR009
TXN000171,M35443,978-0-540869-95-4,2023-11-13,2023-11-14,BR006
TXN000172,M80010,978-1-810219-32-5,2024-10-12,2024-10-30,BR001
TXN000173,M48290,978-1-525800-80-1,2024-08-30,2024-09-24,BR003
TXN000174,M74340,978-0-418635-46-9,01/17/2024,2024-02-02,BR001
TXN000175,M72746,978-0-550770-84-4,2023-12-23,2024-01-01,BR003
TXN000176,M72616,978-1-587575-66-2,2025-04-23,2025-04-26,BR002
TXN000177,M85631,978-1-808446-37-5,19/09/2025,2025-10-15,BR001
TXN000178,M83772,978-1-932291-31-5,2023-10-19,2023-10-23,BR002
TXN000179,M83147,978-0-397571-75-8,2024-12-03,2024-12-23,BR010
TXN000180,M39581,978-1-197923-40-2,2025-06-08,2025-06-23,BR007
TXN000181,M48974,978-1-335552-35-8,2024-12-27,2025-01-16,BR007
TXN000182,M17894,978-0-125611-15-2,2024-12-30,,BR012
TXN000183,M37235,978-0-598216-88-5,2024-10-18,2024-10-24,BR005
TXN000184,M41439,978-0-577538-63-2,2025-05-18,2025-06-01,BR002
TXN000185,M69048,978-0-853240-99-0,10/31/2024,2024-11-08,BR008
TXN000186,M47762,978-1-618392-61-9,2024-08-15,2024-08-18,BR012
TXN000187,M40595,978-0-254739-93-2,2024-11-27,2024-12-16,BR013
TXN000188,M96662,978-0-887443-23-7,2025-01-01,2025-01-19,BR004
TXN000189,M39466,978-1-329471-32-0,01/06/2024,2024-06-06,BR015
TXN000190,M19359,978-1-152657-81-6,2024-05-13,2024-06-06,BR013
TXN000191,M84607,978-0-989545-25-9,2025-08-26,2025-09-18,BR008
TXN000192,M49857,978-1-239816-69-3,2025-01-22,2025-02-07,BR005
TXN000193,,978-1-891937-66-8,2024-08-06,2024-08-30,BR001
TXN000194,M52247,978-1-970914-80-1,2024-11-08,,BR001
TXN000195,M98381,978-1-266889-70-7,2023-10-20,2023-10-21,BR010
TXN000196,M98117,978-1-371782-41-2,2024-04-30,,BR010
TXN000197,M32962,978-1-903013-76-2,2025-02-17,2025-02-26,BR011
TXN000198,M33788,978-1-757193-40-5,2024-02-26,2024-03-13,BR007
TXN000199,M21959,978-1-561239-19-1,2025-09-10,2025-10-02,BR007
TXN000200,M23710,978-1-345884-44-9,2024-08-05,2024-08-21,BR006
TXN000201,M47777,978-1-435239-79-1,2024-09-10,2024-09-28,BR007
TXN000202,M14809,978-0-245095-29-0,2024-09-04,2024-09-08,BR006
TXN000203,M62976,978-0-501641-98-8,2024-01-31,2024-02-22,BR014
TXN000204,M81118,978-0-840734-37-2,09/09/2024,2024-09-21,BR001
TXN000205,M91609,978-0-535020-62-9,2025-06-01,2025-06-03,BR011
TXN000206,M36680,978-1-668969-69-4,2023-11-06,2023-11-21,BR003
TXN000207,M73532,978-1-165290-36-9,2025-02-24,2025-03-04,BR011
TXN000208,M30758,978-1-508396-84-0,2025-04-18,2025-04-21,BR001
TXN000209,M39451,978-0-998348-83-4,2024-02-04,2024-02-08,BR015
TXN000210,M94896,978-1-600149-10-8,2024-12-21,2024-12-31,BR008
TXN000211,M76698,978-1-413118-59-9,2024-01-24,2024-02-09,BR007
TXN000212,M41946,978-1-664365-79-7,03/10/2025,2025-11-02,BR003
TXN000213,M88561,978-0-611945-38-9,2024-10-10,2024-10-13,BR015
TXN000214,M46208,978-1-557007-72-8,2025-04-17,2025-05-17,BR014
TXN000215,M76550,978-0-507746-53-3,2024-11-24,2024-12-04,BR001
TXN000216,M86931,978-1-859359-31-0,2024-11-08,2024-11-13,BR011
TXN000217,M68529,978-1-233827-89-3,2025-03-26,2025-04-20,BR006
TXN000218,M81228,978-0-513160-85-9,2025-08-12,2025-08-19,BR015
TXN000219,M41300,978-0-188025-92-7,2024-05-26,2024-06-09,BR004
TXN000220,M15720,978-1-242291-69-2,2023-11-16,2023-12-12,BR008
TXN000221,M59968,978-0-152727-43-7,2024-03-05,2024-03-26,BR011
TXN000222,M29936,978-1-443254-37-3,2024-09-14,2024-10-03,BR001
TXN000223,M53515,978-1-442722-53-8,2025-06-18,2025-06-22,  BR014 
TXN000224,M78937,978-1-391773-63-6,2024-10-17,2024-10-31,BR001
TXN000225,M95823,978-1-975467-20-3,2024-08-09,2024-08-18,BR002
TXN000226,M54375,978-1-120324-79-5,2024-10-31,2024-11-28,BR007
TXN000227,M53065,978-0-466960-38-4,2025-09-14,2025-09-25,BR014
TXN000228,M92155,978-0-919182-93-6,2024-11-21,2024-12-09,BR013
TXN000229,M14705,978-0-890870-13-6,2025-08-15,2025-09-14,BR004
TXN000230,M47667,978-0-309044-12-7,02/06/2025,,BR012
TXN000231,M22903,978-0-350132-26-2,2024-11-29,2024-12-14,BR012
TXN000232,M31805,978-1-801978-24-8,2024-03-31,,BR015
TXN000233,M52516,978-0-587623-99-1,2024-10-06,2024-10-20,BR005
TXN000234,M29080,978-1-904150-57-2,2025-03-18,2025-04-13,BR007
TXN000235,M33600,978-0-735324-87-9,2023-10-17,2023-10-30,BR002
TXN000236,M91226,978-0-915573-30-1,2024-11-24,2024-11-29,BR008
TXN000237,M40433,978-1-213349-84-1,2025-07-06,2025-07-28,BR005
TXN000238,M11231,978-0-427110-83-4,2025-02-25,2025-03-19,BR008
TXN000239,M81643,978-1-515922-35-3,2024-05-02,2024-05-21,BR008
TXN000240,M49210,978-0-720859-98-0,2024-09-12,2024-09-27,BR007
TXN000241,M49599,978-0-206851-99-6,2024-08-23,2024-08-27,BR007
TXN000242,M41091,978-1-991597-97-7,2024-05-14,2024-06-06,BR006
TXN000243,M48696,978-1-322086-79-8,03/05/2025,2025-03-14,BR014
TXN000244,M11061,978-0-934904-82-7,2024-12-19,2024-12-21,BR011
TXN000245,M89482,978-0-464069-78-2,18/01/2025,2025-01-28,BR014
TXN000246,M40162,978-1-793655-57-8,2024-08-01,2024-08-08,BR006
TXN000247,M91381,978-0-630538-92-0,2025-01-28,2025-02-19,BR013
TXN000248,M99241,978-1-113266-63-7,2025-04-11,,BR011
TXN000249,M92242,978-1-210665-65-4,2024-09-30,2024-10-02,BR005
TXN000250,M85965,978-1-766459-68-4,2024-10-28,,BR003
TXN000251,M48680,978-0-556641-32-2,2023-10-30,2023-11-04,BR007
TXN000252,M80701,978-1-745830-78-7,2024-08-20,2024-09-19,BR006
TXN000253,M45720,978-1-587455-65-0,2024-09-06,2024-09-22,BR005
TXN000254,M48684,978-1-437960-41-9,2024-02-27,2024-03-13,BR006
TXN000255,M19869,978-0-392477-67-3,01/02/2025,2025-01-26,BR004
TXN000256,M98395,978-0-886931-69-8,2025-02-16,2025-02-28,BR014
TXN000257,,978-1-452737-13-3,2024-08-14,2024-08-18,BR001
TXN000258,M69609,978-1-992288-51-5,2024-05-12,2024-05-31,BR012
TXN000259,M59941,978-0-611233-37-0,2025-05-31,2025-06-08,BR006
TXN000260,M71797,978-1-322086-79-8,17/09/2025,2025-09-28,BR015
TXN000261,M89964,978-1-936587-43-8,2025-05-17,2025-06-01,BR002
TXN000262,M49608,978-1-393243-86-1,2025-04-08,2025-04-10,BR002
TXN000263,M49893,978-1-682789-11-7,2024-11-16,,BR002
TXN000264,M80457,978-0-189771-40-3,2025-07-07,2025-07-31,BR008
TXN000265,M80804,978-1-612311-81-4,2025-05-09,2025-06-07,BR012
TXN000266,M64379,978-0-824156-70-1,2025-09-28,2025-10-12,BR014
TXN000267,M46666,978-1-322086-79-8,2024-05-14,2024-05-29,BR006
TXN000268,M40947,978-1-569945-12-4,2025-03-17,2025-03-29,BR002
TXN000269,M81364,978-0-408528-38-2,2025-01-19,2025-02-01,BR011
TXN000270,M46160,978-1-825391-41-2,2025-07-10,2025-08-06,BR002
TXN000271,M69600,978-1-796212-84-6,2024-04-27,2024-05-17,BR004
TXN000272,M12799,978-1-596249-80-6,2023-12-25,2023-12-30,BR006
TXN000273,M84000,978-1-546173-80-9,2025-07-19,2025-07-26,BR014
TXN000274,M86858,978-1-468900-99-6,2024-07-29,2024-08-23,BR014
TXN000275,M29340,978-1-384076-49-2,2024-12-20,,BR010
TXN000276,M28964,978-1-341736-25-4,2024-07-20,2024-07-26,BR009
TXN000277,M24408,978-0-430876-25-3,2024-11-04,2024-11-16,BR001
TXN000278,M41186,978-0-300845-37-2,2023-12-16,2023-12-18,BR001
TXN000279,M26614,978-1-389930-85-0,2024-05-03,2024-05-06,BR009
TXN000280,M72422,978-1-205409-34-8,2024-10-26,2024-10-30,BR006
TXN000281,M69245,978-1-338533-56-9,2025-01-22,,BR010
TXN000282,M96363,978-0-416950-11-3,2025-02-24,2025-02-25,BR008
TXN000283,M17972,978-0-387636-15-3,06/09/2025,2025-09-28,BR014
TXN000284,M24150,978-0-680238-47-4,2024-02-02,2024-03-02,BR015
TXN000285,M20589,978-0-768854-72-5,19/01/2025,,BR003
TXN000286,M46046,978-0-112861-83-6,03/01/2025,2025-01-14,BR010
TXN000287,M59925,978-1-592198-71-9,10/30/2024,2024-11-16,BR009
TXN000288,M89354,978-1-457256-33-2,2024-10-30,2024-11-27,BR013
TXN000289,M95814,978-0-364742-71-6,2024-07-08,2024-08-05,BR013
TXN000290,M38183,978-0-962050-18-3,11/16/2023,2023-11-27,BR015
TXN000291,M69441,978-1-615633-19-7,2024-08-13,,BR012
TXN000292,M65936,978-0-259097-29-7,2025-05-23,2025-05-28,BR005
TXN000293,M72163,978-1-189318-41-4,2023-10-19,,BR014
TXN000294,M66606,978-0-685181-63-8,2025-10-12,2025-10-17,BR012
TXN000295,M82924,978-0-913373-76-7,2025-09-08,2025-09-30,BR009
TXN000296,M26021,978-1-572398-66-5,2025-09-23,2025-10-18,BR014
TXN000297,M65435,978-1-717113-64-1,2024-12-11,,BR012
TXN000298,M47700,978-1-696251-89-1,2024-04-21,2024-05-08,BR006
TXN000299,M37884,978-0-739244-22-7,2025-05-06,2025-05-10,BR008
TXN000300,M55890,978-0-755900-37-4,2024-07-01,2024-07-10,  BR006 
TXN000301,M85248,978-1-792509-20-9,2023-11-12,2023-12-07,BR007
TXN000302,M91490,978-0-351516-32-0,06/04/2025,2025-06-24,BR011
TXN000303,M96223,978-0-264136-10-3,2025-05-23,,BR005
TXN000304,M45818,978-1-572387-98-0,2024-12-12,2024-12-24,BR005
TXN000305,M10800,978-1-405407-14-4,2023-11-14,2023-11-27,BR003
TXN000306,M19120,978-0-402099-46-8,02/17/2024,2024-02-20,BR011
TXN000307,M79531,978-1-174637-97-1,2024-04-10,2024-04-16,BR007
TXN000308,M58503,978-0-377405-90-5,2024-08-15,2024-09-03,BR006
TXN000309,M88148,978-0-545790-24-6,2024-06-05,2024-06-30,BR001
TXN000310,M90981,978-1-322086-79-8,2024-04-28,2024-05-20,BR002
TXN000311,,978-0-779094-29-5,2025-04-26,2025-05-03,BR008
TXN000312,M77154,978-1-966785-28-6,2025-06-23,2025-07-15,BR007
TXN000313,M98930,978-0-162535-31-2,2025-03-11,2025-03-13,BR009
TXN000314,M38903,978-1-723948-82-4,2023-12-18,,BR010
TXN000315,M36794,978-1-560485-25-4,2024-06-19,2024-07-14,BR004
TXN000316,M43491,978-1-822131-48-6,2025-09-15,,BR002
TXN000317,M66446,978-1-385470-74-9,2025-05-14,2025-05-22,BR007
TXN000318,M75570,978-1-559023-20-7,2024-05-25,2024-05-28,BR011
TXN000319,M62044,978-0-553014-51-8,2024-06-02,2024-06-17,BR001
TXN000320,M20205,978-1-127121-21-2,2025-01-21,2025-02-03,BR010
TXN000321,M93904,978-0-807053-83-6,2025-05-11,2025-05-22,BR002
TXN000322,M32527,978-0-901909-96-1,2024-11-16,2024-12-09,BR010
TXN000323,M57428,978-1-704238-15-9,06/02/2024,2024-06-16,BR014
TXN000324,M87184,978-0-593355-76-3,2024-12-21,2024-12-31,BR002
TXN000325,M54500,978-1-391668-33-8,2024-03-12,2024-03-29,BR013
TXN000326,M92998,978-1-765620-72-6,2024-07-27,2024-08-21,BR009
TXN000327,M55793,978-0-592841-54-0,2024-03-07,2024-03-12,BR014
TXN000328,M40968,978-1-449499-51-8,2024-10-05,2024-10-25,BR005
TXN000329,M30036,978-0-999398-30-2,2023-11-15,,BR011
TXN000330,,978-1-531641-98-6,2025-02-13,2025-03-04,BR013
TXN000331,M68838,978-1-402218-94-1,2025-07-19,2025-08-09,BR015
TXN000332,M91857,978-1-953085-80-1,2024-01-29,2024-02-13,BR011
TXN000333,M18950,978-0-576919-21-0,2024-03-09,2024-03-18,BR011
TXN000334,M87518,978-1-364659-51-6,2025-07-01,,BR009
TXN000335,M70521,978-0-910075-61-9,2024-12-01,2024-12-11,BR001
TXN000336,M20057,978-0-789606-79-2,2025-02-03,,BR014
TXN000337,M87867,978-1-533321-16-9,07/29/2024,2024-08-24,BR008
TXN000338,M15376,978-0-643623-56-9,2024-05-05,2024-05-12,BR013
TXN000339,M52143,978-1-755788-66-5,2025-01-27,2025-01-29,BR009
TXN000340,M69050,978-0-313446-44-3,2023-11-30,2023-12-23,BR015
TXN000341,M21053,978-0-402020-66-0,2023-11-07,,BR003
TXN000342,M67377,978-1-227324-13-1,2024-04-07,2024-04-13,BR009
TXN000343,M57696,978-0-844261-30-0,2025-04-13,2025-05-08,BR005
TXN000344,M54350,978-1-677596-11-9,2025-02-20,2025-03-13,BR001
TXN000345,M53863,978-1-197736-38-5,2024-03-25,2024-04-07,BR002
TXN000346,M47243,978-0-583863-25-4,02/20/2025,2025-03-22,BR014
TXN000347,M88997,978-0-622584-47-8,2025-02-25,,BR006
TXN000348,M96980,978-1-535673-71-6,26/10/2024,2024-11-16,BR006
TXN000349,M96787,978-1-355570-68-4,06/08/2025,2025-08-09,BR010
TXN000350,M50577,978-0-502219-34-6,2025-08-06,2025-09-02,BR011
TXN000351,M26750,978-0-173201-45-9,03/27/2025,2025-04-18,BR014
TXN000352,M78995,978-1-456385-74-3,2024-04-21,2024-05-03,BR011
TXN000353,M12389,978-1-960408-10-5,2025-07-25,2025-08-05,BR003
TXN000354,M73736,978-1-861319-48-7,2024-08-08,2024-08-18,BR003
TXN000355,M23256,978-1-255813-67-6,2023-10-17,2023-11-15,BR009
TXN000356,M79013,978-1-322086-79-8,2024-04-30,2024-05-20,BR006
TXN000357,M27176,978-1-461888-52-9,2025-09-18,2025-10-15,BR003
TXN000358,M91885,978-1-577463-51-1,2023-10-27,2023-10-29,BR003
TXN000359,M63852,978-0-831380-40-3,2024-05-24,2024-06-08,BR012
TXN000360,M90031,978-1-344907-62-0,2025-07-24,2025-08-01,BR012
TXN000361,M79993,978-0-433632-70-2,2025-03-28,2025-04-26,BR013
TXN000362,M35430,978-1-504832-94-6,2025-07-15,2025-07-30,BR010
